project_id,state,district,constituency,MP_name,project_name,project_category,sanctioned_amount,released_amount,expenditure,project_status,sanction_date,start_date,completion_date,implementing_agency,contractor,latitude,longitude,beneficiary_count,_demo_injected_issue
MPLAD-2026-00667,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 8,Arun Rao,Community Infrastructure Development,Community Infrastructure,4223000.0,3341263.32,2845652.5,Completed,2024-08-17,2024-10-25,2025-02-11,District Rural Development Agency,Bharat Construction Co,12.875551,78.265427,6042.0,NORMAL
MPLAD-2026-00862,West Bengal,Howrah,Howrah Constituency 5,Kavita Joshi,Water Conservation Structure,Irrigation,767000.0,586009.97,364114.93,Delayed,2024-01-07,2024-03-09,2024-08-28,State Water Resources Department,Bharat Construction Co,22.905065,88.640815,2300.0,NORMAL
MPLAD-2026-00341,Uttar Pradesh,Lucknow,Lucknow Constituency 5,Deepak Gupta,Construction of CC Road,Roads,4255000.0,3274153.76,1826814.19,Completed,2023-11-30,2023-12-27,2024-03-21,District Administration,Saksham Projects,27.171452,80.438127,3204.0,NORMAL
MPLAD-2026-00432,Odisha,Cuttack,Cuttack Constituency 2,Kavita Joshi,Construction of Community Hall,Community Infrastructure,2816000.0,2752642.9,1739657.27,Completed,2021-04-16,2021-05-15,2021-10-20,State Public Works Department,Vardhan Construction,20.992477,86.632645,6089.0,NORMAL
MPLAD-2026-00552,Karnataka,Belagavi,Belagavi Constituency 7,Deepak Gupta,Construction of Public Utility Building,Community Infrastructure,3126000.0,2767403.81,1446832.87,Completed,2023-08-20,2023-10-13,2024-05-14,State Public Works Department,Unity Infrastructure,13.911369,77.531785,8581.0,NORMAL
MPLAD-2026-00834,Rajasthan,Udaipur,Udaipur Constituency 7,Amit Kumar,Construction of Minor Irrigation Facility,Irrigation,3341000.0,2974597.32,1852131.82,Completed,2022-03-02,2022-05-23,2022-10-24,Urban Local Body,Metro Civil Contractors,26.462714,75.560151,7497.0,NORMAL
MPLAD-2026-00204,Telangana,Nalgonda,Nalgonda Constituency 2,Deepak Gupta,Improvement of Village Road,Roads,1504000.0,1321931.07,625226.2,Delayed,2023-04-02,2023-04-25,2023-10-21,Rural Development Department,Unity Infrastructure,16.904571,78.422629,5462.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00631,Tamil Nadu,Chennai,Chennai Constituency 7,Priya Singh,Construction of Community Toilet,Sanitation,4709000.0,4582438.45,4005857.21,Completed,2021-04-28,2021-06-27,2021-08-27,Rural Development Department,Unity Infrastructure,13.333947,80.304902,5898.0,NORMAL
MPLAD-2026-00094,Odisha,Cuttack,Cuttack Constituency 6,Kavita Joshi,Renovation of Public Building,Public Facilities,4810000.0,4149254.04,3549617.98,Completed,2022-12-05,2022-12-30,2023-07-07,Zilla Parishad,Shree Infrastructure Pvt Ltd,20.509057,85.791727,11693.0,NORMAL
MPLAD-2026-00559,Odisha,Ganjam,Ganjam Constituency 4,Naveen Singh,Construction of Approach Road,Roads,3143000.0,3028622.64,1808364.45,Completed,2021-11-01,2021-12-27,2022-04-29,Rural Development Department,Metro Civil Contractors,21.377637,85.798572,14400.0,NORMAL
MPLAD-2026-00069,Tamil Nadu,Madurai,Madurai Constituency 3,Manoj Yadav,Installation of Drinking Water Supply System,Drinking Water,1890000.0,1625788.96,1202737.38,Delayed,2025-02-08,2025-03-11,2025-06-02,District Administration,Unity Infrastructure,17.383684,78.486093,2977.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00623,Gujarat,Rajkot,Rajkot Constituency 2,Vijay Kumar,Pipeline Extension for Drinking Water,Drinking Water,4592000.0,4337225.45,2269083.76,Completed,2025-06-23,2025-08-05,2025-12-13,Zilla Parishad,Krishna Builders,22.730325,72.020627,6303.0,NORMAL
MPLAD-2026-00285,Telangana,Nalgonda,Nalgonda Constituency 2,Priya Singh,Water Conservation Structure,Irrigation,4782000.0,4013458.91,6080236.96,Completed,2022-04-26,2022-05-23,2022-10-02,Zilla Parishad,Dakshin Projects,16.543144,78.328519,5306.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-00845,Telangana,Karimnagar,Karimnagar Constituency 8,Sunita Das,Healthcare Facility Improvement,Healthcare,2041000.0,1882411.3,1158305.29,Completed,2023-07-12,2023-08-29,2024-03-21,Municipal Corporation,Shree Infrastructure Pvt Ltd,17.386702,78.486425,2525.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00435,Odisha,Puri,Puri Constituency 2,Priya Singh,Construction of Public Facility,Public Facilities,861000.0,839032.85,498541.86,Delayed,2021-06-07,2021-07-05,2023-07-31,Municipal Corporation,Reliable Infra Solutions,20.592445,86.729092,8231.0,MAJOR_DELAY
MPLAD-2026-00154,Tamil Nadu,Madurai,Madurai Constituency 5,Meena Patel,Construction of Citizen Service Centre,Public Facilities,1888000.0,1585752.26,1413549.04,Completed,2023-08-13,2023-09-09,2024-03-07,Zilla Parishad,Unity Infrastructure,13.657649,80.004493,6173.0,NORMAL
MPLAD-2026-00076,Gujarat,Surat,Surat Constituency 4,Rohit Mehta,Healthcare Facility Improvement,Healthcare,3985000.0,3774436.34,2823243.72,Completed,2022-07-22,2022-08-24,2022-11-25,Municipal Corporation,Metro Civil Contractors,23.135222,72.727302,1901.0,NORMAL
MPLAD-2026-00731,Tamil Nadu,Coimbatore,Coimbatore Constituency 8,Suresh Reddy,Renovation of Health Sub Centre,Healthcare,1854000.0,1534597.9,1449549.43,Delayed,2021-01-14,2021-04-01,2022-08-14,District Rural Development Agency,Bharat Construction Co,13.020395,79.719766,100.0,MAJOR_DELAY
MPLAD-2026-00447,Andhra Pradesh,Guntur,Guntur Constituency 3,Anil Verma,Drainage Improvement Works,Sanitation,1059000.0,970550.59,576356.15,Delayed,2022-01-03,2022-03-21,2024-08-05,District Rural Development Agency,Shree Infrastructure Pvt Ltd,16.980004,81.126183,12629.0,MAJOR_DELAY
MPLAD-2026-00189,Maharashtra,Nashik,Nashik Constituency 5,Vijay Kumar,Development of Community Sports Facility,Sports Infrastructure,3048000.0,2655827.48,1651578.93,Completed,2024-10-29,2024-11-19,2025-01-29,State Water Resources Department,Metro Civil Contractors,19.468544,72.960204,366.0,NORMAL
MPLAD-2026-00272,Gujarat,Vadodara,Vadodara Constituency 1,Naveen Singh,Village Electrification Works,Electricity,2375000.0,2249191.22,1782651.34,Completed,2024-02-05,2024-02-26,2024-04-29,State Water Resources Department,Apex Civil Works,,73.220106,13698.0,DATA_QUALITY
MPLAD-2026-00237,Maharashtra,Aurangabad,Aurangabad Constituency 3,Sunita Das,Construction of Sports Ground,Sports Infrastructure,1282000.0,1241995.37,683548.78,Delayed,2021-04-29,2021-06-14,2022-12-03,Urban Local Body,Dakshin Projects,18.394164,73.492793,11644.0,MAJOR_DELAY
MPLAD-2026-00488,Maharashtra,Nashik,Nashik Constituency 4,Kavita Joshi,Renovation of Public Building,Public Facilities,2163000.0,1992267.43,2448423.2,Delayed,2021-01-22,2021-04-07,2021-07-10,District Administration,Reliable Infra Solutions,18.875217,72.027407,11353.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-00118,Gujarat,Ahmedabad,Ahmedabad Constituency 2,Deepak Gupta,Construction of School Laboratory,Education,1241000.0,1030855.5,829494.44,Completed,2022-12-10,2023-03-01,2023-07-11,Zilla Parishad,Sunrise Engineering,23.987275,72.856664,10504.0,NORMAL
MPLAD-2026-00944,Odisha,Khordha,Khordha Constituency 1,Anil Verma,Electricity Infrastructure Improvement,Electricity,4570000.0,3861669.35,1807228.74,Completed,2024-10-08,2024-11-26,2025-07-22,District Administration,Unity Infrastructure,19.931778,86.015327,6771.0,NORMAL
MPLAD-2026-00513,Gujarat,Ahmedabad,Ahmedabad Constituency 2,Vijay Kumar,Installation of Street Lighting,Electricity,3279000.0,2558184.01,1437821.74,Completed,2022-06-13,2022-08-10,2023-01-07,Rural Development Department,Metro Civil Contractors,23.799894,72.767746,14785.0,NORMAL
MPLAD-2026-00826,Odisha,Puri,Puri Constituency 4,Deepak Gupta,Water Conservation Structure,Irrigation,2457000.0,2128230.78,1000102.94,Completed,2023-09-30,2023-12-12,2024-05-13,Urban Local Body,Vardhan Construction,20.556935,85.971108,4234.0,NORMAL
MPLAD-2026-00592,Rajasthan,Udaipur,Udaipur Constituency 6,Deepak Gupta,Construction of Citizen Service Centre,Public Facilities,3634000.0,3316848.41,3029142.92,Completed,2025-02-15,2025-04-02,2025-08-02,Urban Local Body,Dakshin Projects,27.325642,75.080575,10437.0,NORMAL
MPLAD-2026-00127,Andhra Pradesh,Krishna,Krishna Constituency 6,Sunita Das,Public Infrastructure Improvement,Public Facilities,1170000.0,1138741.02,592020.63,Completed,2024-06-09,2024-08-03,2024-11-12,Rural Development Department,Vardhan Construction,17.38512,78.487255,9827.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00117,Rajasthan,Kota,Kota Constituency 2,Suresh Reddy,Construction of Community Hall,Community Infrastructure,2525000.0,2323068.8,1445546.73,Completed,2025-05-17,2025-08-10,2026-03-21,Municipal Corporation,Metro Civil Contractors,26.932907,75.49408,7188.0,NORMAL
MPLAD-2026-00474,Rajasthan,Kota,Kota Constituency 6,Rohit Mehta,Construction of Overhead Water Tank,Drinking Water,4307000.0,3517672.0,2087816.77,Completed,2021-11-25,2022-01-11,2022-09-03,Zilla Parishad,Krishna Builders,26.225914,75.475941,1960.0,NORMAL
MPLAD-2026-00694,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 7,Rajesh Sharma,Construction of Public Facility,Public Facilities,2362000.0,2058788.46,1570529.03,Delayed,2022-03-07,2022-05-14,2022-10-17,State Water Resources Department,Greenfield Contractors,27.432484,81.64888,13347.0,NORMAL
MPLAD-2026-00058,West Bengal,Kolkata,Kolkata Constituency 1,Manoj Yadav,Canal Improvement Works,Irrigation,3694000.0,3057477.75,1396769.67,Delayed,2023-04-16,2023-05-12,2023-09-06,District Rural Development Agency,Dakshin Projects,22.486038,88.499596,7660.0,NORMAL
MPLAD-2026-00864,Gujarat,Vadodara,Vadodara Constituency 1,Suresh Reddy,Pipeline Extension for Drinking Water,Drinking Water,4807000.0,4039357.69,3378322.84,Completed,2025-03-11,2025-04-22,2025-08-07,State Water Resources Department,Apex Civil Works,22.781316,72.935026,6034.0,NORMAL
MPLAD-2026-00913,Karnataka,Mysuru,Mysuru Constituency 8,Amit Kumar,Construction of Minor Irrigation Facility,Irrigation,4709000.0,4577422.94,3876270.4,Completed,2021-09-04,2021-10-28,2022-03-11,Municipal Corporation,Greenfield Contractors,13.047495,77.793473,9768.0,NORMAL
MPLAD-2026-00370,Andhra Pradesh,Nellore,Nellore Constituency 1,Arun Rao,Public Infrastructure Improvement,Public Facilities,2946000.0,2213735.28,1973216.17,Completed,2022-05-03,2022-06-14,2023-01-10,District Administration,Prime Development Works,17.249464,81.056467,7339.0,NORMAL
MPLAD-2026-00269,Tamil Nadu,Madurai,Madurai Constituency 6,Naveen Singh,School Building Improvement,Education,2768000.0,2556463.89,1562486.95,Completed,2021-08-25,2021-10-24,2022-05-15,District Administration,Vardhan Construction,12.695514,80.09765,11146.0,NORMAL
MPLAD-2026-00047,Maharashtra,Nashik,Nashik Constituency 4,Rajesh Sharma,Healthcare Facility Improvement,Healthcare,1038000.0,917556.7,762576.61,Completed,2022-01-15,2022-02-23,2022-06-18,Rural Development Department,Sunrise Engineering,18.760076,72.730252,1747.0,NORMAL
MPLAD-2026-00350,Odisha,Khordha,Khordha Constituency 7,Anil Verma,Rural Drinking Water Facility,Drinking Water,2758000.0,2602052.43,1340545.11,Completed,2021-10-04,2021-12-19,2022-07-10,Zilla Parishad,Krishna Builders,20.711912,85.741294,9294.0,NORMAL
MPLAD-2026-00196,Rajasthan,Udaipur,Udaipur Constituency 1,Sunita Das,Construction of Community Health Facility,Healthcare,2236000.0,1811764.7,1393321.64,Delayed,2021-05-26,2021-08-16,2021-10-18,Urban Local Body,Dakshin Projects,26.508113,76.008664,2262.0,NORMAL
MPLAD-2026-DUP-0001,Tamil Nadu,Salem,Salem Constituency 7,Priya Singh,Public Infrastructure Improvement - Phase II,Public Facilities,4161127.15,3138976.6,1759862.19,Completed,2021-09-20,2021-11-13,2022-01-14,Urban Local Body,Greenfield Contractors,13.80887,80.47479,5667.0,SIMILAR_DUPLICATE
MPLAD-2026-00835,West Bengal,Kolkata,Kolkata Constituency 3,Kavita Joshi,Canal Improvement Works,Irrigation,3309000.0,2949057.27,1939584.64,Completed,2025-04-16,2025-05-03,2025-09-12,Zilla Parishad,Prime Development Works,22.950879,88.60993,6248.0,NORMAL
MPLAD-2026-00737,Karnataka,Belagavi,Belagavi Constituency 5,Naveen Singh,Installation of Street Lighting,Electricity,4623000.0,4212863.63,2688908.1,Completed,2023-08-25,2023-10-02,2024-04-26,Rural Development Department,Saksham Projects,12.911292,77.60121,2220.0,NORMAL
MPLAD-2026-00264,Uttar Pradesh,Varanasi,Varanasi Constituency 2,Rajesh Sharma,Construction of Primary Health Centre,Healthcare,2036000.0,1949410.9,1817273.67,Completed,2022-08-21,2022-11-14,2023-05-26,State Public Works Department,Bharat Construction Co,26.114306,80.967838,-475.0,INVALID_NUMERICAL_DATA
MPLAD-2026-00444,Maharashtra,Aurangabad,Aurangabad Constituency 2,Priya Singh,Public Infrastructure Improvement,Public Facilities,19424760.07,17713739.76,14447158.62,Completed,2023-05-19,2023-07-26,2023-10-29,District Rural Development Agency,Unity Infrastructure,17.386614,78.484753,2453.0,EXTREME_COST
MPLAD-2026-00676,Gujarat,Ahmedabad,Ahmedabad Constituency 3,Rohit Mehta,Pipeline Extension for Drinking Water,Drinking Water,2191000.0,1955540.75,1714842.23,Completed,2022-04-02,2022-06-05,2022-11-30,State Water Resources Department,Unity Infrastructure,22.495949,71.760509,7775.0,NORMAL
MPLAD-2026-00305,Odisha,Khordha,Khordha Constituency 3,Manoj Yadav,Public Infrastructure Improvement,Public Facilities,548000.0,527527.77,482887.97,Completed,2023-11-28,2024-01-18,2024-05-06,Zilla Parishad,Vardhan Construction,19.495676,86.49772,10179.0,NORMAL
MPLAD-2026-00342,Tamil Nadu,Coimbatore,Coimbatore Constituency 3,Deepak Gupta,Sports Infrastructure Improvement,Sports Infrastructure,3857000.0,3631638.79,2681172.93,Completed,2024-10-13,2024-12-25,2025-08-21,District Rural Development Agency,Dakshin Projects,12.846666,80.490919,2833.0,NORMAL
MPLAD-2026-00967,Telangana,Warangal,Warangal Constituency 4,Rajesh Sharma,Construction of Public Utility Building,Community Infrastructure,2022000.0,1725090.42,1423933.36,Completed,2023-10-06,2023-12-11,2024-06-27,District Administration,Krishna Builders,17.17561,78.439023,11480.0,NORMAL
MPLAD-2026-00150,Maharashtra,Nashik,Nashik Constituency 1,Deepak Gupta,Canal Improvement Works,Irrigation,3317000.0,2842006.08,1983181.38,Completed,2022-12-07,2023-02-08,2023-08-21,District Administration,Unity Infrastructure,19.441788,73.161033,2544.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00125,Maharashtra,Nashik,Nashik Constituency 7,Vijay Kumar,Road Widening and Improvement,Roads,730000.0,650031.58,410340.16,Completed,2022-08-15,2022-09-08,2023-02-13,Rural Development Department,Metro Civil Contractors,19.870454,73.059942,13621.0,NORMAL
MPLAD-2026-00787,Rajasthan,Jodhpur,Jodhpur Constituency 5,Rohit Mehta,Installation of Drinking Water Supply System,Drinking Water,833000.0,775130.01,644282.64,Completed,2023-05-01,2023-05-18,2023-07-20,Municipal Corporation,Saksham Projects,27.044501,75.176838,1665.0,NORMAL
MPLAD-2026-00051,Odisha,Khordha,Khordha Constituency 2,Sunita Das,Renovation of Health Sub Centre,Healthcare,1691000.0,1302572.0,742378.23,Completed,2024-02-05,2024-02-29,2024-06-08,State Water Resources Department,Prime Development Works,19.659183,85.63521,4871.0,NORMAL
MPLAD-2026-00354,Gujarat,Vadodara,Vadodara Constituency 8,Kavita Joshi,Construction of Additional Classrooms,Education,2195000.0,2143439.61,1529128.84,Delayed,2022-06-08,2022-07-14,2023-09-11,Rural Development Department,Metro Civil Contractors,22.446307,73.361057,969.0,MAJOR_DELAY
MPLAD-2026-00928,West Bengal,Kolkata,Kolkata Constituency 4,Kavita Joshi,Construction of Indoor Sports Hall,Sports Infrastructure,3006000.0,2362237.63,2201813.98,Completed,2021-04-27,2021-05-26,2022-01-16,State Public Works Department,Saksham Projects,23.022862,88.062121,10234.0,NORMAL
MPLAD-2026-00143,Tamil Nadu,Salem,Salem Constituency 2,Naveen Singh,Sports Infrastructure Improvement,Sports Infrastructure,4139000.0,3573439.07,2525077.53,Completed,2023-07-25,2023-10-20,2024-01-02,Rural Development Department,Greenfield Contractors,14.042565,79.39226,11950.0,NORMAL
MPLAD-2026-00471,Tamil Nadu,Chennai,Chennai Constituency 2,Kavita Joshi,Construction of Public Utility Building,Community Infrastructure,803000.0,763088.02,84548.12,Ongoing,2022-03-06,2022-05-04,2022-07-22,Rural Development Department,Sunrise Engineering,12.506563,80.663306,7192.0,UNDER_UTILIZATION
MPLAD-2026-00400,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 5,Ramesh Naidu,Village Irrigation Infrastructure,Irrigation,776000.0,673793.14,360169.13,Completed,2021-04-16,2021-06-07,2022-01-12,District Rural Development Agency,Prime Development Works,12.984343,77.60799,2177.0,NORMAL
MPLAD-2026-00626,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 7,Ramesh Naidu,Renovation of Public Building,Public Facilities,2475000.0,2075288.38,1420188.14,Completed,2022-08-11,2022-09-30,2023-03-18,Zilla Parishad,Reliable Infra Solutions,26.995596,81.321288,5100.0,NORMAL
MPLAD-2026-00321,Uttar Pradesh,Varanasi,Varanasi Constituency 7,Suresh Reddy,Construction of Additional Classrooms,Education,1063000.0,859602.18,1120340.81,Completed,2025-03-04,2025-03-29,2025-07-20,District Rural Development Agency,Bharat Construction Co,26.695597,81.69726,1145.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-00020,Gujarat,Surat,Surat Constituency 5,Suresh Reddy,Construction of Community Hall,Community Infrastructure,4457000.0,3754495.56,1985652.89,Delayed,2024-01-18,2024-03-11,2024-10-13,State Public Works Department,Metro Civil Contractors,22.424816,72.659988,11042.0,NORMAL
MPLAD-2026-00810,Telangana,Warangal,Warangal Constituency 5,Rohit Mehta,Renovation of Health Sub Centre,Healthcare,8723865.29,7571549.29,6892262.9,Completed,2022-07-26,2022-08-27,2023-03-19,Zilla Parishad,Unity Infrastructure,17.193139,79.003501,4569.0,EXTREME_COST
MPLAD-2026-00791,Gujarat,Surat,Surat Constituency 4,Rohit Mehta,Renovation of Public Building,Public Facilities,877000.0,746150.52,648431.06,Completed,2023-12-08,2024-03-04,2024-07-01,Rural Development Department,Prime Development Works,23.112756,73.088287,6847.0,NORMAL
MPLAD-2026-00809,Odisha,Khordha,Khordha Constituency 8,Rajesh Sharma,Installation of Drinking Water Supply System,Drinking Water,1321000.0,1019289.43,620493.1,Completed,2024-07-07,2024-07-24,2024-11-04,Urban Local Body,Apex Civil Works,20.430539,85.486194,7642.0,NORMAL
MPLAD-2026-00408,Telangana,Warangal,Warangal Constituency 5,Anil Verma,Construction of Public Facility,Public Facilities,3375000.0,3309774.24,1946782.01,Completed,2023-05-25,2023-07-20,2023-11-22,Rural Development Department,Bharat Construction Co,17.84933,77.818198,12832.0,NORMAL
MPLAD-2026-00538,Tamil Nadu,Madurai,Madurai Constituency 1,Suresh Reddy,Construction of Sports Ground,Sports Infrastructure,1853000.0,1572875.0,804507.45,Delayed,2021-10-14,2022-01-08,2022-05-19,Urban Local Body,Apex Civil Works,13.53102,80.04851,14582.0,NORMAL
MPLAD-2026-00621,Karnataka,Dharwad,Dharwad Constituency 8,Rajesh Sharma,Drainage Improvement Works,Sanitation,4731000.0,3717671.78,2051714.09,Completed,2024-07-13,2024-08-31,2025-04-10,Urban Local Body,Apex Civil Works,12.800993,77.502989,9334.0,NORMAL
MPLAD-2026-00039,Uttar Pradesh,Varanasi,Varanasi Constituency 5,Sunita Das,Solar Lighting Installation,Electricity,4257000.0,3693274.05,3045149.26,Completed,2021-04-17,2021-06-15,2021-10-10,State Public Works Department,,26.885871,80.811647,12457.0,DATA_QUALITY
MPLAD-2026-00176,Telangana,Nalgonda,Nalgonda Constituency 1,Sunita Das,Installation of Drinking Water Supply System,Drinking Water,4321000.0,3940719.5,3107531.86,Completed,2021-12-03,2022-01-18,2022-07-29,Urban Local Body,National Projects Ltd,17.524908,79.15061,9272.0,NORMAL
MPLAD-2026-00246,Odisha,Khordha,Khordha Constituency 8,Naveen Singh,Construction of Primary Health Centre,Healthcare,4404000.0,3723217.81,2230869.74,Delayed,2021-04-21,2021-05-25,2021-08-28,District Administration,Unity Infrastructure,20.292512,86.490475,9429.0,NORMAL
MPLAD-2026-00829,Telangana,Nalgonda,Nalgonda Constituency 6,Amit Kumar,Construction of Additional Classrooms,Education,2219000.0,2208052.83,174489.51,Ongoing,2024-07-28,2024-09-19,2025-03-06,Rural Development Department,National Projects Ltd,17.460807,79.079619,11922.0,UNDER_UTILIZATION
MPLAD-2026-00668,Odisha,Puri,Puri Constituency 1,Priya Singh,Village Sanitation Infrastructure,Sanitation,2937000.0,2250710.6,1684781.52,Completed,2025-03-30,2025-05-23,2025-09-08,State Public Works Department,Greenfield Contractors,20.363,85.672811,4037.0,NORMAL
MPLAD-2026-00755,Maharashtra,Nagpur,Nagpur Constituency 1,Vijay Kumar,Water Conservation Structure,Irrigation,4396000.0,4157091.33,3800758.92,Completed,2025-03-21,2025-04-12,2025-07-08,Rural Development Department,Reliable Infra Solutions,19.115783,73.542589,14165.0,NORMAL
MPLAD-2026-00859,Maharashtra,Nashik,Nashik Constituency 3,Anil Verma,Construction of Public Utility Building,Community Infrastructure,4232000.0,3507636.75,2118642.21,Completed,2024-02-28,2024-05-03,2024-10-16,State Public Works Department,Krishna Builders,19.225391,72.963425,6797.0,NORMAL
MPLAD-2026-00155,Uttar Pradesh,Varanasi,Varanasi Constituency 1,Kavita Joshi,Renovation of Health Sub Centre,Healthcare,573000.0,509011.88,377694.93,Completed,2025-01-14,2025-03-23,2025-08-05,Zilla Parishad,Unity Infrastructure,27.092894,80.855213,6323.0,NORMAL
MPLAD-2026-00288,Karnataka,Mysuru,Mysuru Constituency 5,Ramesh Naidu,Installation of Drinking Water Supply System,Drinking Water,4514000.0,4344259.24,3326891.28,Completed,2024-04-06,2024-07-04,2024-12-14,State Public Works Department,Apex Civil Works,13.344833,76.599589,9137.0,NORMAL
MPLAD-2026-00603,West Bengal,Kolkata,Kolkata Constituency 5,Rohit Mehta,Sports Infrastructure Improvement,Sports Infrastructure,1256000.0,1082134.02,549550.21,Completed,2024-09-19,2024-12-12,2025-04-12,District Rural Development Agency,National Projects Ltd,22.594587,88.382166,1828.0,NORMAL
MPLAD-2026-00570,Odisha,Ganjam,Ganjam Constituency 1,Suresh Reddy,Construction of Primary Health Centre,Healthcare,4601000.0,3894624.71,2153517.73,Completed,2022-08-20,2022-11-10,2023-01-26,State Public Works Department,Unity Infrastructure,20.56493,86.140028,2915.0,NORMAL
MPLAD-2026-00744,Telangana,Warangal,Warangal Constituency 5,Meena Patel,Construction of Minor Irrigation Facility,Irrigation,2957000.0,2877019.34,2132982.6,Completed,2022-06-23,2022-07-11,2022-09-17,Zilla Parishad,Sunrise Engineering,16.746735,77.694336,5581.0,NORMAL
MPLAD-2026-00018,Gujarat,Ahmedabad,Ahmedabad Constituency 3,Rajesh Sharma,Construction of Minor Irrigation Facility,Irrigation,3538000.0,2861537.85,1459222.07,Completed,2024-03-12,2024-04-27,2024-11-21,District Rural Development Agency,Vardhan Construction,23.392645,72.02202,6968.0,NORMAL
MPLAD-2026-00128,Uttar Pradesh,Varanasi,Varanasi Constituency 5,Arun Rao,Construction of Internal Roads,Roads,1991000.0,1547805.68,74366.28,Ongoing,2022-09-23,2022-10-11,2023-05-11,Zilla Parishad,Greenfield Contractors,26.162984,80.728295,11919.0,UNDER_UTILIZATION
MPLAD-2026-00323,Karnataka,Mysuru,Mysuru Constituency 3,Amit Kumar,Construction of Internal Roads,Roads,4372000.0,3634445.04,2500779.39,Completed,2024-01-13,2024-03-02,2024-09-18,Municipal Corporation,Unity Infrastructure,12.861016,77.471874,9780.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00256,West Bengal,Kolkata,Kolkata Constituency 2,Rohit Mehta,Construction of Additional Classrooms,Education,4335000.0,3641632.64,2871002.23,Delayed,2023-05-23,2023-06-21,2023-09-13,State Public Works Department,Dakshin Projects,22.694306,88.341293,258.0,NORMAL
MPLAD-2026-00658,Rajasthan,Jodhpur,Jodhpur Constituency 5,Kavita Joshi,Waste Management Facility,Sanitation,4439000.0,3630095.77,2539707.17,Completed,2023-01-26,2023-03-15,2023-06-02,Municipal Corporation,Eastern Infrastructure,26.917059,75.196974,12843.0,NORMAL
MPLAD-2026-00965,Karnataka,Mysuru,Mysuru Constituency 6,Amit Kumar,Installation of Drinking Water Supply System,Drinking Water,4405000.0,3912273.35,2481989.24,Completed,2022-10-08,2022-12-10,2023-06-28,Urban Local Body,Krishna Builders,13.467032,78.475856,6580.0,NORMAL
MPLAD-2026-00191,Uttar Pradesh,Agra,Agra Constituency 2,Vijay Kumar,Construction of Additional Classrooms,Education,2284000.0,1887445.78,1509429.43,Completed,2022-04-25,2022-07-03,2023-02-15,State Public Works Department,Bharat Construction Co,26.468825,80.676473,3596.0,NORMAL
MPLAD-2026-00116,Karnataka,Mysuru,Mysuru Constituency 8,Amit Kumar,Construction of Public Utility Building,Community Infrastructure,2603000.0,2591945.03,1334555.21,Completed,2021-06-26,2021-07-19,2021-12-05,State Water Resources Department,Reliable Infra Solutions,12.642935,77.692006,8712.0,NORMAL
MPLAD-2026-00617,Tamil Nadu,Chennai,Chennai Constituency 3,Rohit Mehta,Canal Improvement Works,Irrigation,524000.0,451587.51,274180.47,Completed,2021-03-22,2021-04-22,2021-11-15,District Rural Development Agency,National Projects Ltd,13.042973,81.431569,9315.0,NORMAL
MPLAD-2026-00607,Gujarat,Surat,Surat Constituency 7,Meena Patel,Construction of Public Utility Building,Community Infrastructure,4089000.0,4021455.0,2063624.44,Completed,2024-09-21,2024-12-20,2025-04-15,State Water Resources Department,Shree Infrastructure Pvt Ltd,22.699217,72.974116,5276.0,NORMAL
MPLAD-2026-00181,Karnataka,Dharwad,Dharwad Constituency 5,Suresh Reddy,Construction of School Laboratory,Education,4289000.0,3880912.35,3425918.51,Completed,2021-01-20,2021-04-07,2021-07-10,State Water Resources Department,Krishna Builders,13.205306,78.284333,6803.0,NORMAL
MPLAD-2026-00302,Tamil Nadu,Salem,Salem Constituency 8,Suresh Reddy,Community Infrastructure Development,Community Infrastructure,1642000.0,1357381.09,844532.86,Delayed,2024-12-15,2025-02-18,2025-05-24,District Rural Development Agency,Unity Infrastructure,13.474023,80.880737,12352.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00760,Telangana,Hyderabad,Hyderabad Constituency 3,Manoj Yadav,Sports Infrastructure Improvement,Sports Infrastructure,3110000.0,2365120.47,1912622.9,Completed,2021-05-05,2021-06-22,2021-10-25,Urban Local Body,Eastern Infrastructure,16.924116,79.321042,8954.0,NORMAL
MPLAD-2026-00713,Rajasthan,Udaipur,Udaipur Constituency 1,Arun Rao,Waste Management Facility,Sanitation,940000.0,857426.11,699660.4,Completed,2023-05-16,2023-06-24,2023-11-06,Rural Development Department,National Projects Ltd,26.442236,74.90244,8776.0,NORMAL
MPLAD-2026-00724,West Bengal,Kolkata,Kolkata Constituency 4,Anil Verma,Construction of Minor Irrigation Facility,Irrigation,739000.0,610750.52,406247.68,Completed,2024-09-14,2024-09-29,2024-12-10,Rural Development Department,Unity Infrastructure,22.334722,88.627764,12965.0,NORMAL
